age	credit	debt	savings	result
49.0	686.0	7.844	6.57	Loan Approved
45.0	672.0	10.889	11.625	Loan Approved
24.0	712.0	13.602	15.483	Loan Approved
48.0	782.0	0.0	3.441	Denied
37.0	692.0	3.596	5.186	Loan Approved
41.0	684.0	8.815	9.518	Loan Approved
43.0	690.0	8.684	9.269	Loan Approved
43.0	756.0	4.616	4.493	Loan Approved
41.0	731.0	9.469	8.07	Loan Approved
38.0	623.0	12.356	6.201	Denied
36.0	717.0	3.81	4.17	Loan Approved
59.0	696.0	11.173	6.318	Denied
31.0	721.0	10.605	0.0	Denied
39.0	677.0	7.789	2.106	Loan Approved
32.0	699.0	7.59	3.37	Loan Approved
43.0	685.0	11.483	5.162	Denied
33.0	643.0	17.672	3.497	Denied
25.0	754.0	14.204	7.132	Denied
58.0	742.0	6.932	12.68	Loan Approved
44.0	701.0	0.0	4.5	Loan Approved
29.0	693.0	6.237	14.894	Loan Approved
44.0	714.0	6.019	14.514	Loan Approved
55.0	653.0	5.475	8.546	Denied
59.0	770.0	4.899	7.719	Loan Approved
44.0	821.0	7.288	8.286	Loan Approved
26.0	825.0	6.98	13.462	Loan Approved
39.0	723.0	15.724	3.001	Denied
30.0	622.0	3.728	5.898	Loan Approved
48.0	674.0	8.366	8.84	Denied
59.0	789.0	7.711	15.092	Loan Approved
51.0	710.0	7.65	1.384	Denied
40.0	541.0	13.653	1.578	Denied
31.0	616.0	9.118	7.528	Denied
30.0	761.0	10.803	9.431	Denied
38.0	683.0	15.333	6.998	Denied
32.0	647.0	7.129	0.0	Denied
48.0	777.0	15.458	7.757	Loan Approved
33.0	696.0	14.525	11.358	Denied
44.0	644.0	4.542	0.0	Denied
44.0	686.0	5.233	7.047	Loan Approved
47.0	631.0	13.583	1.777	Denied
59.0	738.0	5.955	7.103	Loan Approved
49.0	716.0	8.429	3.983	Denied
28.0	648.0	13.171	8.117	Denied
50.0	766.0	0.455	7.279	Loan Approved
54.0	735.0	5.876	4.982	Denied
54.0	690.0	10.823	6.805	Loan Approved
43.0	777.0	8.92	0.615	Denied
42.0	780.0	7.191	6.603	Loan Approved
43.0	711.0	11.375	6.481	Denied
57.0	601.0	14.671	0.951	Denied
49.0	715.0	10.063	11.747	Loan Approved
33.0	779.0	5.001	10.389	Loan Approved
33.0	674.0	12.28	10.476	Loan Approved
52.0	764.0	1.859	10.649	Loan Approved
52.0	723.0	9.263	6.515	Loan Approved
31.0	691.0	11.546	0.0	Denied
36.0	673.0	5.438	2.588	Denied
34.0	690.0	7.629	4.651	Loan Approved
29.0	679.0	14.1	5.189	Denied
57.0	638.0	10.285	5.993	Loan Approved
43.0	641.0	2.766	0.985	Denied
28.0	691.0	13.547	2.075	Denied
46.0	691.0	6.291	5.015	Loan Approved
40.0	578.0	5.977	0.0	Denied
25.0	671.0	9.528	11.804	Denied
42.0	678.0	12.992	7.67	Denied
